id,parent_id, locale, category_position, category_title, category_description, category_color, category_image, category_image_thumb, category_visible, category_trusted
"2549","976","en_US","0","AUDIFAX","AUDIFAX é DEPUTADO FEDERAL do PSB pela Unidade da Federação ES","219624",NULL,NULL,"1","0"
"2550","976","en_US","0","AUGUSTO COUTINHO","AUGUSTO COUTINHO é DEPUTADO FEDERAL do DEM pela Unidade da Federação PE","221624",NULL,NULL,"1","0"
"2551","976","en_US","0","AUREO","AUREO é DEPUTADO FEDERAL do PRTB pela Unidade da Federação RJ","606624",NULL,NULL,"1","0"
"2552","976","en_US","0","BENEDITA DA SILVA","BENEDITA DA SILVA é DEPUTADO FEDERAL do PT pela Unidade da Federação RJ","299624",NULL,NULL,"1","0"
"2553","976","en_US","0","BENJAMIN MARANHÃO","BENJAMIN MARANHÃO é DEPUTADO FEDERAL do PMDB pela Unidade da Federação PB","163624",NULL,NULL,"1","0"
"2554","976","en_US","0","BERINHO BANTIM","BERINHO BANTIM é DEPUTADO FEDERAL do PEN pela Unidade da Federação RR","495624",NULL,NULL,"1","0"
"2555","976","en_US","0","BERNARDO SANTANA DE VASCONCELLOS","BERNARDO SANTANA DE VASCONCELLOS é DEPUTADO FEDERAL do PR pela Unidade da Federação MG","879624",NULL,NULL,"1","0"
"2556","976","en_US","0","BETINHO ROSADO","BETINHO ROSADO é DEPUTADO FEDERAL do DEM pela Unidade da Federação RN","693624",NULL,NULL,"1","0"
"2557","976","en_US","0","BETO ALBUQUERQUE","BETO ALBUQUERQUE é DEPUTADO FEDERAL do PSB pela Unidade da Federação RS","766624",NULL,NULL,"1","0"
"2558","976","en_US","0","BETO FARO","BETO FARO é DEPUTADO FEDERAL do PT pela Unidade da Federação PA","457624",NULL,NULL,"1","0"
"2559","976","en_US","0","BETO MANSUR","BETO MANSUR é DEPUTADO FEDERAL do PP pela Unidade da Federação SP","713624",NULL,NULL,"1","0"
"2560","976","en_US","0","BIFFI","BIFFI é DEPUTADO FEDERAL do PT pela Unidade da Federação MS","561624",NULL,NULL,"1","0"
"2561","976","en_US","0","BOHN GASS","BOHN GASS é DEPUTADO FEDERAL do PT pela Unidade da Federação RS","214624",NULL,NULL,"1","0"
